Quantity,Designator,Value,Comment,Description,ManufPart,Mouser

"1","C1","1000uF","Cap Pol2","Polarized Capacitor","UVR1E102MPD","647-UVR1E102MPD"
"1","C2","1uF","Cap","Capacitor","C2012X7R1E105K125AB","810-C2012X7R1E105K"
"1","C3","0.1uF","Cap","Capacitor","","810-C2012X8R1H104K"
"1","C4","33pF","Cap","Capacitor","","581-08055A330J"
"1","C5","22uF 160V","TBD","Polarized Capacitor","EEU-EE2C220","667-EEU-EE2C220"
"1","C6","0.1uF","Cap","Capacitor","C3216X7R2E104K160AA","810-C3216X7R2E104K"
"1","D1","","MURA240T3G","Schottky Diode","MURA240T3G","863-MURA240T3G"
"1","J1","","12V","Connector, 2 pin","","538-26-48-1021"
"1","J2","","OUT","Connector, 2 pin","","538-42375-1863"
"1","L1","","PM5022 68uH","Inductor","PM5022-680M-RC","542-PM5022-680M-RC"
"1","Q1","","SI4434DY-T1-E3","N-channel MOSFET (8-SOIC)","SI4434DY-T1-E3","781-SI4434DY-T1-E3"
"1","R1","390K","Res1","Resistor","CRCW0805390KFKEA","71-CRCW0805390KFKEA"
"2","R2, R6","10K","Res1","Resistor","CRCW080510K0FKEB","71-CRCW080510K0FKEB"
"1","R3","0.1","Res1","Resistor","73L5R10J","774-73L5R10J"
"1","R4","100","Res1","Resistor","CRCW0805100RFKEA","71-CRCW0805-100-E3"
"1","R5","38.3K","Res1","Resistor","CRCW080538K3FKEA","71-CRCW0805-38.3K-E3"
"1","U1","","MAX1771","MAX1771 Boost Converter","MAX1771CSA+","700-MAX1771CSA"
"1","U2","","ZTL431A","Adjustable Shunt Reg","ZTL431AFFTA","522-ZTL431AFTA"
