Quantity,Designator,Value,Comment,Description,ManufPart,Mouser

"2","C1, C2","1.0uF","Cap","Capacitor","C2012X7R1E105K125AB","810-C2012X7R1E105K"
"2","C3, C5","0.1uF 100V","Cap","Capacitor","","810-C3216X7R2A104K"
"1","C4","100pF","Cap","Capacitor","","581-08055A101J"
"1","C6","0.01uF 630V","Cap","Capacitor","","810-C3216X7R2J103K"
"1","J1","","CON4","Connector, 4 pin","","538-26-48-1051"
"1","J2","","HV","Connector, 2 pin","","538-26-48-1031"
"2","J3, J5","","12V","Connector, 2 pin","","Part of J3"
"1","J4","","60V","Connector, 2 pin","","Part of J3"
"1","Q7","PZTA42","NPN","NPN Bipolar Transistor","PZTA42","512-PZTA42"
"1","Q8","PZT2222A","NPN","NPN Bipolar Transistor","PZT2222A","512-PZT2222A"
"1","R1","500K","ASTIG","Variable Resistor","3386F-1-504LF","652-3386F-1-504LF"
"1","R2","500K","FOCUS","Variable Resistor","3386F-1-504LF","652-3386F-1-504LF"
"1","R3","100K","BRIGHT","Variable Resistor","3386F-1-104LF","652-3386F-1-104LF"
"1","R4","1K","CONT","Variable Resistor","3386F-1-102LF","652-3386F-1-102LF"
"2","R5, R6","309K","Res1","Resistor","ERJ-8ENF3093V","667-ERJ-8ENF3093V"
"1","R7","100K","Res1","Resistor","CRCW0805100KFKEA","71-CRCW0805-100K-E3"
"1","R8","261K","Res1","Resistor","CRCW1206261KFKEA","71-CRCW1206-261K-E3"
"1","R9","2.2K","Res1","Resistor","ERJ-6ENF2201V","667-ERJ-6ENF2201V"
"1","R10","2.2K","Res1","Resistor","CRCW12062K20FKEA","71-CRCW1206-2.2K-E3"
"1","R11","4.7K","Res1","Resistor","CRCW08054K70FKEA","71-CRCW0805-4.7K-E3"
"2","R12, R14","1K","Res1","Resistor","CRCW08051K00JNEA","71-CRCW0805J-1K-E3"
"3","R13, R18, R19","10K","Res1","Resistor","CRCW080510K0FKEB","71-CRCW080510K0FKEB"
"1","R15","120","Res1","Resistor","CRCW0805120RFKEA","71-CRCW0805120RFKEA"
"1","R16","680","Res1","Resistor","CRCW0805680RFKEA","71-CRCW0805680RFKEA"
"1","R17","220","Res1","Resistor","CRCW0805220RFKEA","71-CRCW0805-220-E3"
"1","U1","","ZTL431A","Adjustable Shunt Reg","ZTL431AFFTA","522-ZTL431AFTA"
